# logM_lo logM_hi N Mave
1.288516507649710441e+01 1.309090682267224892e+01 3.114445024770597229e+05 9.646232644215000000e+12
1.309090682267224892e+01 1.329664856884739343e+01 1.914782819311525091e+05 1.548963312192300000e+13
1.329664856884739343e+01 1.350239031502253795e+01 1.175458276556807396e+05 2.482616940817600000e+13
1.350239031502253795e+01 1.370813206119768424e+01 6.930204773529907106e+04 3.981052960888900000e+13
1.370813206119768424e+01 1.391387380737282875e+01 3.889068201397566008e+04 6.387421810050600000e+13
1.391387380737282875e+01 1.411961555354797326e+01 2.068790934295905390e+04 1.022612325095880000e+14
1.411961555354797326e+01 1.432535729972311778e+01 1.010420275519648021e+04 1.634541976893450000e+14
1.432535729972311778e+01 1.453109904589826229e+01 4.373483838323529199e+03 2.618411179839630000e+14
1.453109904589826229e+01 1.473684079207340680e+01 1.615415624706308790e+03 4.187544371727740000e+14
1.473684079207340680e+01 1.494258253824855132e+01 4.941863704601449854e+02 6.696885798816560000e+14
1.494258253824855132e+01 1.514832428442369761e+01 1.078594225327648530e+02 1.052797830188679000e+15
1.514832428442369761e+01 1.535406603059884212e+01 1.800685824674171442e+01 1.722490000000000000e+15
1.535406603059884212e+01 1.555980777677398663e+01 6.001653092192091865e-01 2.831000000000000000e+15
